"filename", "language", "Properties", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/oyuerdenem/diploma/backend/routes/menuItem/menuItem.routes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/oyuerdenem/diploma/backend/routes/order/order.routes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/oyuerdenem/diploma/backend/routes/orderItem/orderItem.routes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/oyuerdenem/diploma/backend/routes/product/product.routes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/oyuerdenem/diploma/backend/routes/qr/tableqr.routes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/oyuerdenem/diploma/backend/routes/restaurant/restaurant.routes.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/oyuerdenem/diploma/backend/routes/staff/staff.routes.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/Users/oyuerdenem/diploma/backend/routes/table/table.routes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"/Users/oyuerdenem/diploma/backend/routes/user/user.routes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/oyuerdenem/diploma/backend/server.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 92
"/Users/oyuerdenem/diploma/frontend/README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"/Users/oyuerdenem/diploma/frontend/dist/output.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 331, 0, 165, 78, 574
"/Users/oyuerdenem/diploma/frontend/package-lock.json", "JSON", 0, 0, 20522, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20523
"/Users/oyuerdenem/diploma/frontend/package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"/Users/oyuerdenem/diploma/frontend/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/oyuerdenem/diploma/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
"/Users/oyuerdenem/diploma/frontend/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/oyuerdenem/diploma/frontend/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"/Users/oyuerdenem/diploma/frontend/src/App.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 92
"/Users/oyuerdenem/diploma/frontend/src/App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oyuerdenem/diploma/frontend/src/actions/client/actions.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/oyuerdenem/diploma/frontend/src/components/buttons/client-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 5, 71
"/Users/oyuerdenem/diploma/frontend/src/components/buttons/client-order-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 4, 55
"/Users/oyuerdenem/diploma/frontend/src/components/formatter/format-total.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 6, 18
"/Users/oyuerdenem/diploma/frontend/src/components/global-header/header.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/oyuerdenem/diploma/frontend/src/components/protected-route.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
